Gene	Disease
1996	Tobacco_smoking_Never_smoked
5142	Tobacco_smoking_Never_smoked
10745	Tobacco_smoking_Never_smoked
3814	Tobacco_smoking_Never_smoked
127845	Tobacco_smoking_Never_smoked
8028	Tobacco_smoking_Never_smoked
64215	Tobacco_smoking_Never_smoked
220929	Tobacco_smoking_Never_smoked
90550	Tobacco_smoking_Never_smoked
10121	Tobacco_smoking_Never_smoked
51684	Tobacco_smoking_Never_smoked
81603	Tobacco_smoking_Never_smoked
403	Tobacco_smoking_Never_smoked
118980	Tobacco_smoking_Never_smoked
54838	Tobacco_smoking_Never_smoked
1586	Tobacco_smoking_Never_smoked
57412	Tobacco_smoking_Never_smoked
54805	Tobacco_smoking_Never_smoked
22978	Tobacco_smoking_Never_smoked
340784	Tobacco_smoking_Never_smoked
9866	Tobacco_smoking_Never_smoked
6207	Tobacco_smoking_Never_smoked
26822	Tobacco_smoking_Never_smoked
497258	Tobacco_smoking_Never_smoked
627	Tobacco_smoking_Never_smoked
57571	Tobacco_smoking_Never_smoked
399939	Tobacco_smoking_Never_smoked
4684	Tobacco_smoking_Never_smoked
5869	Tobacco_smoking_Never_smoked
2065	Tobacco_smoking_Never_smoked
79035	Tobacco_smoking_Never_smoked
283375	Tobacco_smoking_Never_smoked
283373	Tobacco_smoking_Never_smoked
93058	Tobacco_smoking_Never_smoked
1431	Tobacco_smoking_Never_smoked
10330	Tobacco_smoking_Never_smoked
9924	Tobacco_smoking_Never_smoked
51561	Tobacco_smoking_Never_smoked
6773	Tobacco_smoking_Never_smoked
319	Tobacco_smoking_Never_smoked
121551	Tobacco_smoking_Never_smoked
10019	Tobacco_smoking_Never_smoked
6311	Tobacco_smoking_Never_smoked
8315	Tobacco_smoking_Never_smoked
80724	Tobacco_smoking_Never_smoked
217	Tobacco_smoking_Never_smoked
51275	Tobacco_smoking_Never_smoked
8550	Tobacco_smoking_Never_smoked
89894	Tobacco_smoking_Never_smoked
10961	Tobacco_smoking_Never_smoked
80018	Tobacco_smoking_Never_smoked
10906	Tobacco_smoking_Never_smoked
283450	Tobacco_smoking_Never_smoked
6128	Tobacco_smoking_Never_smoked
5781	Tobacco_smoking_Never_smoked
11021	Tobacco_smoking_Never_smoked
5319	Tobacco_smoking_Never_smoked
4440	Tobacco_smoking_Never_smoked
145508	Tobacco_smoking_Never_smoked
81693	Tobacco_smoking_Never_smoked
27327	Tobacco_smoking_Never_smoked
2811	Tobacco_smoking_Never_smoked
8402	Tobacco_smoking_Never_smoked
26001	Tobacco_smoking_Never_smoked
5216	Tobacco_smoking_Never_smoked
2027	Tobacco_smoking_Never_smoked
9552	Tobacco_smoking_Never_smoked
8735	Tobacco_smoking_Never_smoked
57332	Tobacco_smoking_Never_smoked
5831	Tobacco_smoking_Never_smoked
255275	Tobacco_smoking_Never_smoked
147111	Tobacco_smoking_Never_smoked
5300	Tobacco_smoking_Never_smoked
126248	Tobacco_smoking_Never_smoked
9687	Tobacco_smoking_Never_smoked
3344	Tobacco_smoking_Never_smoked
129285	Tobacco_smoking_Never_smoked
98	Tobacco_smoking_Never_smoked
375287	Tobacco_smoking_Never_smoked
9111	Tobacco_smoking_Never_smoked
785	Tobacco_smoking_Never_smoked
25791	Tobacco_smoking_Never_smoked
3150	Tobacco_smoking_Never_smoked
150082	Tobacco_smoking_Never_smoked
7324	Tobacco_smoking_Never_smoked
28512	Tobacco_smoking_Never_smoked
253559	Tobacco_smoking_Never_smoked
5627	Tobacco_smoking_Never_smoked
200894	Tobacco_smoking_Never_smoked
63899	Tobacco_smoking_Never_smoked
84107	Tobacco_smoking_Never_smoked
7545	Tobacco_smoking_Never_smoked
202018	Tobacco_smoking_Never_smoked
25898	Tobacco_smoking_Never_smoked
1161	Tobacco_smoking_Never_smoked
91942	Tobacco_smoking_Never_smoked
57451	Tobacco_smoking_Never_smoked
80315	Tobacco_smoking_Never_smoked
10695	Tobacco_smoking_Never_smoked
5980	Tobacco_smoking_Never_smoked
10758	Tobacco_smoking_Never_smoked
57154	Tobacco_smoking_Never_smoked
7791	Tobacco_smoking_Never_smoked
4482	Tobacco_smoking_Never_smoked
66036	Tobacco_smoking_Never_smoked
1808	Tobacco_smoking_Never_smoked
2053	Tobacco_smoking_Never_smoked
1191	Tobacco_smoking_Never_smoked
64168	Tobacco_smoking_Never_smoked
115111	Tobacco_smoking_Never_smoked
4062	Tobacco_smoking_Never_smoked
50626	Tobacco_smoking_Never_smoked
