Gene	Disease
55532	Type_of_fat_oil_used_in_cooking_Olive_oil
4673	Type_of_fat_oil_used_in_cooking_Olive_oil
9612	Type_of_fat_oil_used_in_cooking_Olive_oil
100129794	Type_of_fat_oil_used_in_cooking_Olive_oil
145282	Type_of_fat_oil_used_in_cooking_Olive_oil
3169	Type_of_fat_oil_used_in_cooking_Olive_oil
8883	Type_of_fat_oil_used_in_cooking_Olive_oil
766	Type_of_fat_oil_used_in_cooking_Olive_oil
10237	Type_of_fat_oil_used_in_cooking_Olive_oil
124602	Type_of_fat_oil_used_in_cooking_Olive_oil
388419	Type_of_fat_oil_used_in_cooking_Olive_oil
53916	Type_of_fat_oil_used_in_cooking_Olive_oil
2976	Type_of_fat_oil_used_in_cooking_Olive_oil
8890	Type_of_fat_oil_used_in_cooking_Olive_oil
9784	Type_of_fat_oil_used_in_cooking_Olive_oil
130557	Type_of_fat_oil_used_in_cooking_Olive_oil
5496	Type_of_fat_oil_used_in_cooking_Olive_oil
29959	Type_of_fat_oil_used_in_cooking_Olive_oil
200634	Type_of_fat_oil_used_in_cooking_Olive_oil
26160	Type_of_fat_oil_used_in_cooking_Olive_oil
64838	Type_of_fat_oil_used_in_cooking_Olive_oil
2646	Type_of_fat_oil_used_in_cooking_Olive_oil
8520	Type_of_fat_oil_used_in_cooking_Olive_oil
6722	Type_of_fat_oil_used_in_cooking_Olive_oil
23113	Type_of_fat_oil_used_in_cooking_Olive_oil
84163	Type_of_fat_oil_used_in_cooking_Olive_oil
83943	Type_of_fat_oil_used_in_cooking_Olive_oil
79660	Type_of_fat_oil_used_in_cooking_Olive_oil
51059	Type_of_fat_oil_used_in_cooking_Olive_oil
80010	Type_of_fat_oil_used_in_cooking_Olive_oil
28989	Type_of_fat_oil_used_in_cooking_Olive_oil
375759	Type_of_fat_oil_used_in_cooking_Olive_oil
140459	Type_of_fat_oil_used_in_cooking_Olive_oil
