Gene	Disease
6283	Types_of_transport_used_excluding_work_Car_motor_vehicle
6279	Types_of_transport_used_excluding_work_Car_motor_vehicle
103	Types_of_transport_used_excluding_work_Car_motor_vehicle
84284	Types_of_transport_used_excluding_work_Car_motor_vehicle
256297	Types_of_transport_used_excluding_work_Car_motor_vehicle
6572	Types_of_transport_used_excluding_work_Car_motor_vehicle
3195	Types_of_transport_used_excluding_work_Car_motor_vehicle
8945	Types_of_transport_used_excluding_work_Car_motor_vehicle
25911	Types_of_transport_used_excluding_work_Car_motor_vehicle
113746	Types_of_transport_used_excluding_work_Car_motor_vehicle
4046	Types_of_transport_used_excluding_work_Car_motor_vehicle
9479	Types_of_transport_used_excluding_work_Car_motor_vehicle
746	Types_of_transport_used_excluding_work_Car_motor_vehicle
11309	Types_of_transport_used_excluding_work_Car_motor_vehicle
55729	Types_of_transport_used_excluding_work_Car_motor_vehicle
84926	Types_of_transport_used_excluding_work_Car_motor_vehicle
79039	Types_of_transport_used_excluding_work_Car_motor_vehicle
115811	Types_of_transport_used_excluding_work_Car_motor_vehicle
53373	Types_of_transport_used_excluding_work_Car_motor_vehicle
23014	Types_of_transport_used_excluding_work_Car_motor_vehicle
6729	Types_of_transport_used_excluding_work_Car_motor_vehicle
317761	Types_of_transport_used_excluding_work_Car_motor_vehicle
801	Types_of_transport_used_excluding_work_Car_motor_vehicle
79811	Types_of_transport_used_excluding_work_Car_motor_vehicle
85445	Types_of_transport_used_excluding_work_Car_motor_vehicle
23293	Types_of_transport_used_excluding_work_Car_motor_vehicle
124540	Types_of_transport_used_excluding_work_Car_motor_vehicle
4215	Types_of_transport_used_excluding_work_Car_motor_vehicle
80774	Types_of_transport_used_excluding_work_Car_motor_vehicle
92335	Types_of_transport_used_excluding_work_Car_motor_vehicle
57003	Types_of_transport_used_excluding_work_Car_motor_vehicle
11325	Types_of_transport_used_excluding_work_Car_motor_vehicle
90701	Types_of_transport_used_excluding_work_Car_motor_vehicle
1005	Types_of_transport_used_excluding_work_Car_motor_vehicle
10362	Types_of_transport_used_excluding_work_Car_motor_vehicle
126326	Types_of_transport_used_excluding_work_Car_motor_vehicle
692312	Types_of_transport_used_excluding_work_Car_motor_vehicle
56342	Types_of_transport_used_excluding_work_Car_motor_vehicle
692229	Types_of_transport_used_excluding_work_Car_motor_vehicle
5032	Types_of_transport_used_excluding_work_Car_motor_vehicle
23031	Types_of_transport_used_excluding_work_Car_motor_vehicle
374900	Types_of_transport_used_excluding_work_Car_motor_vehicle
51206	Types_of_transport_used_excluding_work_Car_motor_vehicle
8853	Types_of_transport_used_excluding_work_Car_motor_vehicle
55677	Types_of_transport_used_excluding_work_Car_motor_vehicle
3176	Types_of_transport_used_excluding_work_Car_motor_vehicle
10324	Types_of_transport_used_excluding_work_Car_motor_vehicle
151230	Types_of_transport_used_excluding_work_Car_motor_vehicle
84812	Types_of_transport_used_excluding_work_Car_motor_vehicle
7701	Types_of_transport_used_excluding_work_Car_motor_vehicle
617	Types_of_transport_used_excluding_work_Car_motor_vehicle
64320	Types_of_transport_used_excluding_work_Car_motor_vehicle
27148	Types_of_transport_used_excluding_work_Car_motor_vehicle
9470	Types_of_transport_used_excluding_work_Car_motor_vehicle
10564	Types_of_transport_used_excluding_work_Car_motor_vehicle
1434	Types_of_transport_used_excluding_work_Car_motor_vehicle
6780	Types_of_transport_used_excluding_work_Car_motor_vehicle
692057	Types_of_transport_used_excluding_work_Car_motor_vehicle
56666	Types_of_transport_used_excluding_work_Car_motor_vehicle
23228	Types_of_transport_used_excluding_work_Car_motor_vehicle
9779	Types_of_transport_used_excluding_work_Car_motor_vehicle
993	Types_of_transport_used_excluding_work_Car_motor_vehicle
820	Types_of_transport_used_excluding_work_Car_motor_vehicle
51385	Types_of_transport_used_excluding_work_Car_motor_vehicle
27086	Types_of_transport_used_excluding_work_Car_motor_vehicle
55167	Types_of_transport_used_excluding_work_Car_motor_vehicle
2823	Types_of_transport_used_excluding_work_Car_motor_vehicle
3842	Types_of_transport_used_excluding_work_Car_motor_vehicle
3313	Types_of_transport_used_excluding_work_Car_motor_vehicle
9439	Types_of_transport_used_excluding_work_Car_motor_vehicle
57492	Types_of_transport_used_excluding_work_Car_motor_vehicle
84668	Types_of_transport_used_excluding_work_Car_motor_vehicle
81392	Types_of_transport_used_excluding_work_Car_motor_vehicle
89122	Types_of_transport_used_excluding_work_Car_motor_vehicle
349149	Types_of_transport_used_excluding_work_Car_motor_vehicle
563	Types_of_transport_used_excluding_work_Car_motor_vehicle
646282	Types_of_transport_used_excluding_work_Car_motor_vehicle
7551	Types_of_transport_used_excluding_work_Car_motor_vehicle
221914	Types_of_transport_used_excluding_work_Car_motor_vehicle
10734	Types_of_transport_used_excluding_work_Car_motor_vehicle
79037	Types_of_transport_used_excluding_work_Car_motor_vehicle
441272	Types_of_transport_used_excluding_work_Car_motor_vehicle
29990	Types_of_transport_used_excluding_work_Car_motor_vehicle
29992	Types_of_transport_used_excluding_work_Car_motor_vehicle
55063	Types_of_transport_used_excluding_work_Car_motor_vehicle
56257	Types_of_transport_used_excluding_work_Car_motor_vehicle
221908	Types_of_transport_used_excluding_work_Car_motor_vehicle
402573	Types_of_transport_used_excluding_work_Car_motor_vehicle
81628	Types_of_transport_used_excluding_work_Car_motor_vehicle
222950	Types_of_transport_used_excluding_work_Car_motor_vehicle
6733	Types_of_transport_used_excluding_work_Car_motor_vehicle
1129	Types_of_transport_used_excluding_work_Car_motor_vehicle
23196	Types_of_transport_used_excluding_work_Car_motor_vehicle
