Gene	Disease
473	Weekly_usage_of_mobile_phone_in_last_3_months
23207	Weekly_usage_of_mobile_phone_in_last_3_months
64129	Weekly_usage_of_mobile_phone_in_last_3_months
5792	Weekly_usage_of_mobile_phone_in_last_3_months
9682	Weekly_usage_of_mobile_phone_in_last_3_months
10103	Weekly_usage_of_mobile_phone_in_last_3_months
51060	Weekly_usage_of_mobile_phone_in_last_3_months
112970	Weekly_usage_of_mobile_phone_in_last_3_months
91408	Weekly_usage_of_mobile_phone_in_last_3_months
400765	Weekly_usage_of_mobile_phone_in_last_3_months
270	Weekly_usage_of_mobile_phone_in_last_3_months
2205	Weekly_usage_of_mobile_phone_in_last_3_months
26476	Weekly_usage_of_mobile_phone_in_last_3_months
343450	Weekly_usage_of_mobile_phone_in_last_3_months
55220	Weekly_usage_of_mobile_phone_in_last_3_months
2104	Weekly_usage_of_mobile_phone_in_last_3_months
10529	Weekly_usage_of_mobile_phone_in_last_3_months
221037	Weekly_usage_of_mobile_phone_in_last_3_months
100302150	Weekly_usage_of_mobile_phone_in_last_3_months
84989	Weekly_usage_of_mobile_phone_in_last_3_months
142891	Weekly_usage_of_mobile_phone_in_last_3_months
7417	Weekly_usage_of_mobile_phone_in_last_3_months
118881	Weekly_usage_of_mobile_phone_in_last_3_months
387712	Weekly_usage_of_mobile_phone_in_last_3_months
11023	Weekly_usage_of_mobile_phone_in_last_3_months
51144	Weekly_usage_of_mobile_phone_in_last_3_months
90993	Weekly_usage_of_mobile_phone_in_last_3_months
8525	Weekly_usage_of_mobile_phone_in_last_3_months
4192	Weekly_usage_of_mobile_phone_in_last_3_months
1132	Weekly_usage_of_mobile_phone_in_last_3_months
55626	Weekly_usage_of_mobile_phone_in_last_3_months
283254	Weekly_usage_of_mobile_phone_in_last_3_months
9776	Weekly_usage_of_mobile_phone_in_last_3_months
392	Weekly_usage_of_mobile_phone_in_last_3_months
79797	Weekly_usage_of_mobile_phone_in_last_3_months
2147	Weekly_usage_of_mobile_phone_in_last_3_months
9793	Weekly_usage_of_mobile_phone_in_last_3_months
4038	Weekly_usage_of_mobile_phone_in_last_3_months
219958	Weekly_usage_of_mobile_phone_in_last_3_months
390190	Weekly_usage_of_mobile_phone_in_last_3_months
390191	Weekly_usage_of_mobile_phone_in_last_3_months
4684	Weekly_usage_of_mobile_phone_in_last_3_months
80975	Weekly_usage_of_mobile_phone_in_last_3_months
57646	Weekly_usage_of_mobile_phone_in_last_3_months
9177	Weekly_usage_of_mobile_phone_in_last_3_months
55507	Weekly_usage_of_mobile_phone_in_last_3_months
91012	Weekly_usage_of_mobile_phone_in_last_3_months
