Gene	Disease
3586	Workplace_very_cold_Often
29949	Workplace_very_cold_Often
51363	Workplace_very_cold_Often
4900	Workplace_very_cold_Often
29951	Workplace_very_cold_Often
8906	Workplace_very_cold_Often
5583	Workplace_very_cold_Often
161291	Workplace_very_cold_Often
26094	Workplace_very_cold_Often
10273	Workplace_very_cold_Often
339123	Workplace_very_cold_Often
84219	Workplace_very_cold_Often
6799	Workplace_very_cold_Often
284029	Workplace_very_cold_Often
80169	Workplace_very_cold_Often
9817	Workplace_very_cold_Often
57731	Workplace_very_cold_Often
23640	Workplace_very_cold_Often
284900	Workplace_very_cold_Often
6304	Workplace_very_cold_Often
54532	Workplace_very_cold_Often
8654	Workplace_very_cold_Often
135644	Workplace_very_cold_Often
10107	Workplace_very_cold_Often
7021	Workplace_very_cold_Often
10947	Workplace_very_cold_Often
389792	Workplace_very_cold_Often
