Gene	Disease
148979	Workplace_very_cold_Sometimes
55327	Workplace_very_cold_Sometimes
51144	Workplace_very_cold_Sometimes
642559	Workplace_very_cold_Sometimes
6490	Workplace_very_cold_Sometimes
1017	Workplace_very_cold_Sometimes
117177	Workplace_very_cold_Sometimes
121793	Workplace_very_cold_Sometimes
957	Workplace_very_cold_Sometimes
3320	Workplace_very_cold_Sometimes
91833	Workplace_very_cold_Sometimes
100131366	Workplace_very_cold_Sometimes
123722	Workplace_very_cold_Sometimes
123720	Workplace_very_cold_Sometimes
23563	Workplace_very_cold_Sometimes
79583	Workplace_very_cold_Sometimes
26502	Workplace_very_cold_Sometimes
28513	Workplace_very_cold_Sometimes
339324	Workplace_very_cold_Sometimes
3899	Workplace_very_cold_Sometimes
164832	Workplace_very_cold_Sometimes
9486	Workplace_very_cold_Sometimes
3667	Workplace_very_cold_Sometimes
2119	Workplace_very_cold_Sometimes
5161	Workplace_very_cold_Sometimes
7060	Workplace_very_cold_Sometimes
995	Workplace_very_cold_Sometimes
51307	Workplace_very_cold_Sometimes
64288	Workplace_very_cold_Sometimes
442191	Workplace_very_cold_Sometimes
10537	Workplace_very_cold_Sometimes
2550	Workplace_very_cold_Sometimes
253582	Workplace_very_cold_Sometimes
2128	Workplace_very_cold_Sometimes
155400	Workplace_very_cold_Sometimes
346606	Workplace_very_cold_Sometimes
29969	Workplace_very_cold_Sometimes
51105	Workplace_very_cold_Sometimes
5069	Workplace_very_cold_Sometimes
