Gene	Disease
9644	Workplace_very_hot_Often
399947	Workplace_very_hot_Often
4778	Workplace_very_hot_Often
140801	Workplace_very_hot_Often
10017	Workplace_very_hot_Often
283951	Workplace_very_hot_Often
100506581	Workplace_very_hot_Often
642	Workplace_very_hot_Often
388364	Workplace_very_hot_Often
3643	Workplace_very_hot_Often
100130519	Workplace_very_hot_Often
115861	Workplace_very_hot_Often
100130827	Workplace_very_hot_Often
55133	Workplace_very_hot_Often
9777	Workplace_very_hot_Often
55713	Workplace_very_hot_Often
118425	Workplace_very_hot_Often
2823	Workplace_very_hot_Often
6643	Workplace_very_hot_Often
29886	Workplace_very_hot_Often
64327	Workplace_very_hot_Often
157724	Workplace_very_hot_Often
11059	Workplace_very_hot_Often
51115	Workplace_very_hot_Often
8895	Workplace_very_hot_Often
56262	Workplace_very_hot_Often
