Gene	Disease
57489	Workplace_very_hot_Rarely_never
2959	Workplace_very_hot_Rarely_never
284612	Workplace_very_hot_Rarely_never
127002	Workplace_very_hot_Rarely_never
284613	Workplace_very_hot_Rarely_never
57463	Workplace_very_hot_Rarely_never
89884	Workplace_very_hot_Rarely_never
7570	Workplace_very_hot_Rarely_never
79946	Workplace_very_hot_Rarely_never
118611	Workplace_very_hot_Rarely_never
3178	Workplace_very_hot_Rarely_never
84260	Workplace_very_hot_Rarely_never
83464	Workplace_very_hot_Rarely_never
27327	Workplace_very_hot_Rarely_never
728741	Workplace_very_hot_Rarely_never
728689	Workplace_very_hot_Rarely_never
55911	Workplace_very_hot_Rarely_never
246778	Workplace_very_hot_Rarely_never
26471	Workplace_very_hot_Rarely_never
6799	Workplace_very_hot_Rarely_never
6817	Workplace_very_hot_Rarely_never
728734	Workplace_very_hot_Rarely_never
11273	Workplace_very_hot_Rarely_never
7284	Workplace_very_hot_Rarely_never
25970	Workplace_very_hot_Rarely_never
487	Workplace_very_hot_Rarely_never
9810	Workplace_very_hot_Rarely_never
94103	Workplace_very_hot_Rarely_never
9570	Workplace_very_hot_Rarely_never
388394	Workplace_very_hot_Rarely_never
25925	Workplace_very_hot_Rarely_never
6925	Workplace_very_hot_Rarely_never
9781	Workplace_very_hot_Rarely_never
2641	Workplace_very_hot_Rarely_never
10324	Workplace_very_hot_Rarely_never
79675	Workplace_very_hot_Rarely_never
129881	Workplace_very_hot_Rarely_never
493911	Workplace_very_hot_Rarely_never
9777	Workplace_very_hot_Rarely_never
728039	Workplace_very_hot_Rarely_never
104	Workplace_very_hot_Rarely_never
6538	Workplace_very_hot_Rarely_never
60312	Workplace_very_hot_Rarely_never
25998	Workplace_very_hot_Rarely_never
83637	Workplace_very_hot_Rarely_never
5478	Workplace_very_hot_Rarely_never
5814	Workplace_very_hot_Rarely_never
23362	Workplace_very_hot_Rarely_never
29942	Workplace_very_hot_Rarely_never
