Gene	Disease
3565	chronic_inflammation_go
6279	chronic_inflammation_go
191	chronic_inflammation_go
9536	chronic_inflammation_go
201294	chronic_inflammation_go
7128	chronic_inflammation_go
50943	chronic_inflammation_go
6280	chronic_inflammation_go
6356	chronic_inflammation_go
4049	chronic_inflammation_go
7124	chronic_inflammation_go
7124	chronic_inflammation_go
6352	chronic_inflammation_go
3586	chronic_inflammation_go
2697	chronic_inflammation_go
10563	chronic_inflammation_go
8876	chronic_inflammation_go
7057	chronic_inflammation_go
7412	chronic_inflammation_go
