act_id,struct_id,target_id,target_name,target_class,accession,gene,swissprot,act_value,act_unit,act_type,act_comment,act_source,relation,moa,moa_source,act_source_url,moa_source_url,action_type,first_in_class,tdl,act_ref_id,moa_ref_id,organism
218475,5375,1366,Nuclear factor NF-kappa-B p105 subunit,Cytosolic other,P19838,NFKB1,NFKB1_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1,SCIENTIFIC LITERATURE,,http://www.ncbi.nlm.nih.gov/pubmed/31132753,INHIBITOR,,Tclin,,2750,Homo sapiens
218476,5375,755,5'-AMP-activated protein kinase catalytic subunit alpha-1,Kinase,Q13131,PRKAA1,AAPK1_HUMAN,,,,Mechanism of Action,SCIENTIFIC LITERATURE,,1,SCIENTIFIC LITERATURE,,http://www.ncbi.nlm.nih.gov/pubmed/31132753,INHIBITOR,,Tclin,,2750,Homo sapiens
218477,5375,4392,SARS-CoV-2,Virus,,,,6,,EC50,Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32149769,,INHIBITOR,,,2751,,
218478,1893,4392,SARS-CoV-2,Virus,,,,5.53,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.26434/chemrxiv.12039888.v1,,INHIBITOR,,,2752,,
218479,3972,4392,SARS-CoV-2,Virus,,,,5.69,,IC50,Activity determined against Vero/hSLAM cell,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32251768,,INHIBITOR,,,2753,,
218480,1912,4392,SARS-CoV-2,Virus,,,,6.55,,IC50,,SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.1101/2020.03.20.999730,,INHIBITOR,,,2754,,
218481,276,4392,SARS-CoV-2,Virus,,,,5.67,,EC50,in vitro inhibition of SAR-CoV2 replication,SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.1101/2020.04.03.023846,,INHIBITOR,,,2755,,
218482,1395,4392,SARS-CoV-2,Virus,,,,5.35,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32194981,,INHIBITOR,,,2756,,
218483,1001,4392,SARS-CoV-2,Virus,,,,6.34,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32251767,,INHIBITOR,,,2757,,
218484,4677,4392,SARS-CoV-2,Virus,,,,5.59,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32251767,,INHIBITOR,,,2757,,
218485,607,4392,SARS-CoV-2,Virus,,,,5.95,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32020029,,INHIBITOR,,,2758,,
218487,924,4393,Main protease (M-PRO),Enzyme,P0DTD1,REP,R1AB_SARS2,6.26,,IC50,,SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.1101/2020.03.23.004580,,INHIBITOR,,,2760,,Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)
218490,5377,4392,SARS-CoV-2,Virus,,,,6.52,,IC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://www.ncbi.nlm.nih.gov/pubmed/32253226,,INHIBITOR,,,2762,,
218491,5378,4392,SARS-CoV-2,Virus,,,,5.29,,EC50,Activity determined against Vero E6 cells,SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.1101/2020.03.11.986836,,INHIBITOR,,,2763,,
218492,633,4392,SARS-CoV-2,Virus,,,,5.36,,IC50,Activity determined against Vero E6 cells. Possible target viral NSP15 (uridylate-specific endoribonuclease),SCIENTIFIC LITERATURE,=,,,http://dx.doi.org/10.1101/2020.03.11.987016,,INHIBITOR,,,2759,,
