id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
15517,Monoamine Oxidase Inhibitors,Alpha/Beta Agonists,3,Potentially significant,MAO Inhibitors may enhance the hypertensive effect of Alpha/Beta-Agonists,MAO Inhibitors - Alpha/Beta-Agonists
15518,Monoamine Oxidase Inhibitors,Amphetamines,3,Potentially significant,MAO Inhibitors may enhance the hypertensive effect of amphetamines,MAO Inhibitors - Amphetamines
15519,Alpha/Beta Agonists,Inhalational Anesthetics,3,Potentially significant,Inhalational Anesthetics may enhance the arrhythmogenic effect of Alpha/Beta Agonists,Alpha/Beta Agonists - Inhalational Anesthetics
15522,Monoamine Oxidase Inhibitors,buspirone,1,Potentially significant,May increase blood pressure,MAOIs or RIMAs + Buspirone
15523,Monoamine Oxidase Inhibitors,dextromethorphan,1,Contraindicated,fatal/non-fatal reactions,MAOIs or RIMAs + Dextromethorphan
15524,Monoamine Oxidase Inhibitors,levodopa,1,Contraindicated,life-threatening hypertensive reaction,MAOIs or RIMAs + Levodopa
15525,Monoamine Oxidase Inhibitors,methyldopa,1,Potentially significant,hypertension may occur,MAOIs + Methyldopa
15526,Monoamine Oxidase Inhibitors,mirtazapine,1,Contraindicated,Label warning,MAOIs + Mirtazapine
15527,Monoamine Oxidase Inhibitors,pethidine,1,Potentially significant,potentially life-threatening reaction,MAOIs or RIMAs + Pethidine
15528,Monoamine Oxidase Inhibitors,tramadol,1,Potentially significant,serotonin syndrome,MAOIs or RIMAs + Tramadol
15529,Monoamine Oxidase Inhibitors,Serotonin/Norepinephrine Reuptake Inhibitors,1,Contraindicated,serotonin syndrome,MAOIs or RIMAs + SNRIs
15530,Monoamine Oxidase Inhibitors,Selective Serotonin Reuptake Inhibitors,1,Contraindicated,serotonin syndrome,MAOIs or RIMAs + SSRIs
15531,Monoamine Oxidase Inhibitors,Indirectly Acting Sympathomimetic Amines,1,Contraindicated,potentially fatal hypertensive crisis,MAOIs or RIMAs + Sympathomimetics Indirectly-acting
