id,struct_id,type
5525,5391,ANTIBODY-DRUG CONJUGATE
5526,5392,ORGANIC
5527,5393,ORGANIC
5528,5394,ORGANIC
5529,5395,RADIOPHARMACEUTICAL
5530,5396,RADIOPHARMACEUTICAL
5531,5397,MONOCLONAL ANTIBODY
5532,5398,ORGANIC
5533,5399,ORGANIC
5534,5400,ORGANIC
5535,5401,ORGANIC
5536,5402,ORGANIC
5537,5403,ORGANIC
5538,5404,MONOCLONAL ANTIBODY
5539,5405,ANTIBODY-DRUG CONJUGATE
5540,5406,ORGANIC
5541,5407,ORGANIC
5542,5408,OLIGONUCLEOTIDE
5543,5409,MONOCLONAL ANTIBODY
5544,5410,ORGANIC
5546,5411,RADIOPHARMACEUTICAL
5547,5412,ORGANIC
5548,5413,PROTEIN
5549,5414,ORGANIC
5550,5415,RNA
5551,5416,PEPTIDE
5552,5417,PEPTIDE
5553,5418,ENZYME
5554,5419,ORGANIC
5555,5420,ORGANIC
5556,5421,ORGANIC
5557,5422,RADIOPHARMACEUTICAL
5558,5423,ORGANIC
5559,5424,ORGANIC
5560,5425,ORGANIC
5561,5426,ORGANIC
5562,5427,ORGANIC
5563,5428,ORGANIC
5564,5429,RADIOPHARMACEUTICAL
5565,5430,ORGANIC
5566,5431,ORGANIC
5666,5432,ORGANIC
5667,5433,MONOCLONAL ANTIBODY
5668,5434,MONOCLONAL ANTIBODY
5669,5435,MONOCLONAL ANTIBODY
5670,5436,MONOCLONAL ANTIBODY
5671,5437,MONOCLONAL ANTIBODY
5672,5438,MONOCLONAL ANTIBODY
5673,5439,ORGANIC
5674,5440,ORGANIC
5675,5441,ORGANIC
5676,5442,ORGANIC
5677,5443,OLIGONUCLEOTIDE
5678,5444,ORGANIC
5680,5445,ORGANIC
5681,5446,ORGANIC
5682,5447,PEPTIDE
5683,5448,ORGANIC
5684,5449,MONOCLONAL ANTIBODY
5685,5450,ORGANIC
5687,5451,MONOCLONAL ANTIBODY
5688,5452,ANTIBODY-DRUG CONJUGATE
5690,5453,MONOCLONAL ANTIBODY
5691,5454,MONOCLONAL ANTIBODY
5692,5455,MONOCLONAL ANTIBODY
5693,5456,MONOCLONAL ANTIBODY
5694,5457,PEPTIDE
5695,5458,RADIOPHARMACEUTICAL
5696,5459,ORGANIC
5697,5460,ORGANIC
5698,5461,ORGANIC
5699,5462,ORGANIC
5410,5375,ORGANIC
5411,5376,ORGANIC
5412,5377,ORGANIC
5413,5378,ORGANIC
5414,5379,ORGANIC
5415,5380,ORGANIC
5416,5381,ORGANIC
5417,5382,ORGANIC
5418,5383,ORGANIC
5419,5384,ORGANIC
5420,5385,MONOCLONAL ANTIBODY
5421,5386,MONOCLONAL ANTIBODY
5422,5387,MONOCLONAL ANTIBODY
5423,5388,ORGANIC
5424,5389,ORGANIC
5425,5390,ORGANIC
5119,5279,MONOCLONAL ANTIBODY
5120,5280,ORGANIC
5121,5281,MONOCLONAL ANTIBODY
5122,5282,MONOCLONAL ANTIBODY
5123,5283,ORGANIC
5124,5284,MONOCLONAL ANTIBODY
5125,5285,ORGANIC
5126,5286,ORGANIC
5127,5287,ORGANIC
5128,5288,ORGANIC
5129,5289,ORGANIC
5130,5290,ORGANIC
5132,5291,ORGANIC
5133,5292,ORGANIC
5134,5293,ORGANIC
5135,5294,ORGANIC
5136,5295,ORGANIC
5137,5296,ORGANIC
5138,5297,ORGANIC
5139,5298,ORGANIC
5140,5299,ORGANIC
5141,5300,ORGANIC
5142,5301,ORGANIC
5143,5302,ORGANIC
5144,5303,ORGANIC
5145,5304,ORGANIC
5146,5305,ORGANIC
5147,5306,ORGANIC
5148,5307,ORGANIC
5149,5308,MONOCLONAL ANTIBODY
5150,5309,MONOCLONAL ANTIBODY
5151,5310,ENZYME
5152,5311,ORGANIC
5153,5312,ORGANIC
5154,5313,RNA
5155,5314,MONOCLONAL ANTIBODY
5156,5315,MONOCLONAL ANTIBODY
5157,5316,MONOCLONAL ANTIBODY
5158,5317,MONOCLONAL ANTIBODY
5159,5318,ENZYME
5160,5319,OLIGONUCLEOTIDE
5161,5320,MONOCLONAL ANTIBODY
5162,5321,ENZYME
5163,5322,MONOCLONAL ANTIBODY
5164,5323,FUSION PROTEIN
5165,5324,ORGANIC
5266,5325,ORGANIC
5267,5326,ORGANIC
5268,5327,ORGANIC
5269,5328,ORGANIC
5270,5329,PEPTIDE
5271,5330,ORGANIC
5273,5331,TOXIN
5274,5332,VIRUS
5275,5333,ANTIBODY-DRUG CONJUGATE
5276,5334,ORGANIC
5277,5335,OLIGONUCLEOTIDE
5278,5336,PROTEIN
5279,5337,MONOCLONAL ANTIBODY
5371,5338,PROTEIN
5372,5339,ORGANIC
5373,5340,ENZYME
5374,5341,ORGANIC
5375,5342,ORGANIC
5376,5343,ORGANIC
5377,5344,ORGANIC
5378,5345,ORGANIC
5379,5346,ORGANIC
5380,5347,ORGANIC
5381,5348,ORGANIC
5382,5349,ORGANIC
5383,5350,ORGANIC
5384,5351,ORGANIC
5385,5352,ORGANIC
5386,5353,ORGANIC
5388,5354,RNA
5389,5355,ORGANIC
5390,5356,ORGANIC
5392,5357,OLIGONUCLEOTIDE
5393,5358,ORGANIC
5394,5359,ORGANIC
5395,5360,ORGANIC
5396,5361,ORGANIC
5397,5362,MONOCLONAL ANTIBODY
5398,5363,MONOCLONAL ANTIBODY
5399,5364,FUSION PROTEIN
5400,5365,MONOCLONAL ANTIBODY
5401,5366,ANTIBODY-DRUG CONJUGATE
5402,5367,ANTIBODY-DRUG CONJUGATE
5091,5253,ORGANIC
5092,5254,ORGANIC
5093,5255,ORGANIC
5094,5256,ORGANIC
5095,5257,ORGANIC
5096,5258,ORGANIC
5098,5259,ORGANIC
5099,5260,ORGANIC
5100,5261,ORGANIC
5101,5262,ORGANIC
5102,5263,MONOCLONAL ANTIBODY
5103,5264,ENZYME
5104,5265,PROTEIN
5105,5266,ORGANIC
5106,5267,PEPTIDE
5107,5268,MONOCLONAL ANTIBODY
5108,5269,ORGANIC
5109,5270,ORGANIC
5110,5271,PEPTIDE
5111,5272,PEPTIDE
5112,5273,COORDINATION
5113,5274,ORGANIC
5114,5275,COORDINATION
5115,5275,RADIOPHARMACEUTICAL
5116,5276,ORGANIC
5117,5277,ORGANIC
5118,5278,ORGANIC
5063,5069,PROTEIN
5064,5229,ORGANIC
5065,5230,ENZYME
5066,5231,ORGANIC
5067,5232,PEPTIDE
5068,5233,ORGANIC
5069,5234,MONOCLONAL ANTIBODY
5070,5235,PEPTIDE
5071,5236,ORGANIC
5072,5237,MONOCLONAL ANTIBODY
5073,5238,ORGANIC
5074,5239,ORGANIC
5075,5240,ORGANIC
5076,5241,ORGANIC
5078,5242,ORGANIC
5079,5243,ORGANIC
5080,5244,ORGANIC
5083,5245,FUSION PROTEIN
5084,5246,MONOCLONAL ANTIBODY
5085,5247,ANTIBODY-DRUG CONJUGATE
5086,5248,ORGANIC
5087,5249,ORGANIC
5088,5250,ORGANIC
5089,5251,ORGANIC
5090,5252,ORGANIC
5033,5201,ORGANIC
5034,5202,ORGANIC
5035,5203,ORGANIC
5036,5204,INORGANIC
5037,5205,PROTEIN
5038,5206,ENZYME
5039,5207,OLIGONUCLEOTIDE
5041,5208,PEPTIDE
5042,5209,ORGANIC
5043,5210,ORGANIC
5044,5211,ORGANIC
5045,5212,PROTEIN
5046,5213,MONOCLONAL ANTIBODY
5047,5214,ORGANIC
5048,5215,ORGANIC
5049,5216,ENZYME
5050,5217,ORGANIC
5051,5218,ORGANIC
5052,5219,PEPTIDE
5053,5220,ORGANIC
5054,5221,MONOCLONAL ANTIBODY
5055,5222,ORGANIC
5056,5223,MONOCLONAL ANTIBODY
5057,5224,MONOCLONAL ANTIBODY
5058,5225,INORGANIC
5059,5226,ORGANIC
5060,5227,ORGANIC
5061,5226,RADIOPHARMACEUTICAL
5062,5228,PROTEIN
5017,5188,ORGANIC
5018,4538,COORDINATION
5019,4537,COORDINATION
5020,5189,PROTEIN
5021,5190,INORGANIC
5023,5191,PEPTIDE
5024,5192,PEPTIDE
5025,5193,ORGANIC
5026,5194,ORGANIC
5027,5195,PEPTIDE
5028,5196,PEPTIDE
5029,5197,PEPTIDE
5030,5198,PEPTIDE
5031,5199,ENZYME
5032,5200,ORGANIC SALT
5015,5186,MONOCLONAL ANTIBODY
5016,5187,COORDINATION
5001,5174,ORGANIC
5002,5175,PROTEIN
5003,5176,ENZYME
5004,5177,MONOCLONAL ANTIBODY
5006,5178,FUSION PROTEIN
5007,5179,MONOCLONAL ANTIBODY
5008,5172,VIRUS
5009,5180,VIRUS
5010,5181,PEPTIDE
5011,5182,OLIGONUCLEOTIDE
5012,5183,MONOCLONAL ANTIBODY
5013,5184,RADIOPHARMACEUTICAL
5014,5185,RADIOPHARMACEUTICAL
4959,5116,MIXTURE
4961,5137,PROTEIN
4962,5138,ENZYME
4963,5139,PROTEIN
4964,5140,PROTEIN
4965,5141,ENZYME
4966,5142,ORGANIC
4967,5143,ORGANIC
4968,5144,ORGANIC
4969,5145,ORGANIC
4970,5146,INORGANIC
4971,5147,RADIOPHARMACEUTICAL
4972,5148,MIXTURE
4973,5149,PROTEIN
4974,5150,ORGANIC
4975,5151,MONOCLONAL ANTIBODY
4976,5152,PROTEIN
4977,5153,RADIOPHARMACEUTICAL
4978,5154,ORGANIC
4979,5155,ORGANIC
4980,5156,RADIOPHARMACEUTICAL
4982,5157,PROTEIN
4983,5158,PROTEIN
4984,5159,PROTEIN
4985,5160,PROTEIN
4986,5161,MIXTURE
4987,5161,PROTEIN
4988,5162,MIXTURE
4989,5163,PROTEIN
4990,5165,PROTEIN
4991,5166,PROTEIN
4992,5167,PROTEIN
4993,5168,ORGANIC
4994,5169,ORGANIC
4995,5170,PROTEIN
4996,1835,ORGANIC
4997,5164,PROTEIN
4998,5171,ORGANIC
5000,5173,PROTEIN
4955,5132,INORGANIC SALT
4956,5133,ORGANIC
