STRUCT_ID	DRUG_NAME	GENE	ATC_CODE	TARGET_CLASS	TDL	Entrez
4	levobupivacaine	SCN4A	N01BB10	Ion channel	Tclin	6329
4	levobupivacaine	CYP2D6	N01BB10	Enzyme	Tclin	1565
4	levobupivacaine	KCNH2	N01BB10	Ion channel	Tclin	3757
4	levobupivacaine	KCND3	N01BB10	Ion channel	Tclin	3752
4	levobupivacaine	PTGER1	N01BB10	GPCR	Tclin	5731
4	levobupivacaine	SCN1A	N01BB10	Ion channel	Tclin	6323
4	levobupivacaine	KCNA5	N01BB10	Ion channel	Tclin	3741
4	levobupivacaine	HTR3A	N01BB10	Ion channel	Tclin	3359
24	phenylbutanoic acid	HDAC8	A16AX03	Enzyme	Tclin	55869
24	phenylbutanoic acid	HDAC1	A16AX03	Enzyme	Tclin	3065
24	phenylbutanoic acid	HDAC2	A16AX03	Enzyme	Tclin	3066
24	phenylbutanoic acid	AKR1B1	A16AX03	Enzyme	Tclin	231
25	azacitidine	DNMT1	L01BC07	Enzyme	Tclin	1786
25	azacitidine	DNMT3A	L01BC07	Enzyme	Tclin	1788
26	fluorouracil	TYMS	L01BC02, L01BC52	Enzyme	Tclin	7298
26	fluorouracil	ABCC5	L01BC02, L01BC52	Transporter	Tchem	10057
30	methoxsalen	CYP1A2	D05AD02, D05BA02	Enzyme	Tchem	1544
30	methoxsalen	MAOA	D05AD02, D05BA02	Enzyme	Tclin	4128
30	methoxsalen	ACHE	D05AD02, D05BA02	Enzyme	Tclin	43
35	abarelix	GNRHR	L02BX01	GPCR	Tclin	2798
38	acamprosate	GRIN1	N07BB03	Ion channel	Tclin	2902
38	acamprosate	GRIN2A	N07BB03	Ion channel	Tclin	2903
38	acamprosate	GRIN2B	N07BB03	Ion channel	Tclin	2904
38	acamprosate	GRIN2C	N07BB03	Ion channel	Tclin	2905
38	acamprosate	GRIN2D	N07BB03	Ion channel	Tclin	2906
38	acamprosate	GRIN3A	N07BB03	Ion channel	Tclin	116443
38	acamprosate	GRIN3B	N07BB03	Ion channel	Tclin	116444
38	acamprosate	GABRA1	N07BB03	Ion channel	Tclin	2554
38	acamprosate	GABRB3	N07BB03	Ion channel	Tclin	2562
38	acamprosate	GABRG2	N07BB03	Ion channel	Tclin	2566
39	acarbose	MGAM	A10BF01, A10BD17	Enzyme	Tclin	8972
39	acarbose	SI	A10BF01, A10BD17	Enzyme	Tchem	6476
39	acarbose	GAA	A10BF01, A10BD17	Enzyme	Tclin	2548
39	acarbose	AMY1A	A10BF01, A10BD17	Enzyme	Tchem	276
39	acarbose	AMY2A	A10BF01, A10BD17	Enzyme	Tclin	279
40	acebutolol	ADRB1	C07AB04, C07BB04	GPCR	Tclin	153
40	acebutolol	ADRB2	C07AB04, C07BB04	GPCR	Tclin	154
43	aceclofenac	PTGS2	M01AB16, M02AA25	Enzyme	Tclin	5743
43	aceclofenac	MAPK1	M01AB16, M02AA25	Kinase	Tchem	5594
43	aceclofenac	TTR	M01AB16, M02AA25	Secreted	Tclin	7276
52	paracetamol	CA4	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	762
52	paracetamol	CA1	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	759
52	paracetamol	ALOX5AP	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Cytosolic other	Tchem	241
52	paracetamol	CA3	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	761
52	paracetamol	CA2	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	760
52	paracetamol	CA14	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	23632
52	paracetamol	CA7	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	766
52	paracetamol	CA9	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	768
52	paracetamol	CA12	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	771
52	paracetamol	CNR1	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	GPCR	Tclin	1268
52	paracetamol	TRPV1	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Ion channel	Tclin	7442
52	paracetamol	PTGS2	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Enzyme	Tclin	5743
52	paracetamol	NR1I3	N02BE01, N02AJ01, N02AJ06, N02AJ13, N02AJ17, N02BE51, N02BE71	Nuclear hormone receptor	Tchem	9970
56	acetazolamide	CA5A	S01EC01	Enzyme	Tclin	763
56	acetazolamide	CA1	S01EC01	Enzyme	Tclin	759
56	acetazolamide	CA12	S01EC01	Enzyme	Tclin	771
56	acetazolamide	CA13	S01EC01	Enzyme	Tclin	377677
56	acetazolamide	CA14	S01EC01	Enzyme	Tclin	23632
56	acetazolamide	CA2	S01EC01	Enzyme	Tclin	760
56	acetazolamide	CA3	S01EC01	Enzyme	Tclin	761
56	acetazolamide	CA4	S01EC01	Enzyme	Tclin	762
56	acetazolamide	CA5A	S01EC01	Enzyme	Tclin	763
56	acetazolamide	CA5B	S01EC01	Enzyme	Tclin	11238
56	acetazolamide	CA6	S01EC01	Enzyme	Tclin	765
56	acetazolamide	CA7	S01EC01	Enzyme	Tclin	766
56	acetazolamide	CA9	S01EC01	Enzyme	Tclin	768
56	acetazolamide	CA2	S01EC01	Enzyme	Tclin	760
56	acetazolamide	CA14	S01EC01	Enzyme	Tclin	23632
56	acetazolamide	CA7	S01EC01	Enzyme	Tclin	766
56	acetazolamide	CA12	S01EC01	Enzyme	Tclin	771
56	acetazolamide	CA9	S01EC01	Enzyme	Tclin	768
56	acetazolamide	CA5A	S01EC01	Enzyme	Tclin	763
56	acetazolamide	CA5B	S01EC01	Enzyme	Tclin	11238
56	acetazolamide	CA4	S01EC01	Enzyme	Tclin	762
56	acetazolamide	CA1	S01EC01	Enzyme	Tclin	759
56	acetazolamide	CA5B	S01EC01	Enzyme	Tclin	11238
56	acetazolamide	CA3	S01EC01	Enzyme	Tclin	761
56	acetazolamide	CA13	S01EC01	Enzyme	Tclin	377677
56	acetazolamide	CA6	S01EC01	Enzyme	Tclin	765
57	acetohexamide	ABCC8	A10BB31	Ion channel	Tclin	6833
57	acetohexamide	KCNJ11	A10BB31	Ion channel	Tclin	3767
58	acetohydroxamic acid	CA2	G04BX03	Enzyme	Tclin	760
59	acetophenazine	DRD2	N05AB07	GPCR	Tclin	1813
60	racecadotril	MME	A07XA04	Enzyme	Tclin	4311
60	racecadotril	ACE	A07XA04	Enzyme	Tclin	1636
65	acetylcholine	CHRNA7	S01EB09	Ion channel	Tchem	1139
65	acetylcholine	CHRM3	S01EB09	GPCR	Tclin	1131
65	acetylcholine	CHRNA4	S01EB09	Ion channel	Tclin	1137
65	acetylcholine	CHRNB2	S01EB09	Ion channel	Tclin	1141
65	acetylcholine	CHRM5	S01EB09	GPCR	Tclin	1133
65	acetylcholine	CHRM1	S01EB09	GPCR	Tclin	1128
65	acetylcholine	CHRM4	S01EB09	GPCR	Tclin	1132
65	acetylcholine	CHRM2	S01EB09	GPCR	Tclin	1129
66	acetylcysteine	VEGFA	R05CB01, S01XA08, V03AB23	Secreted	Tclin	7422
67	acetyldigitoxin	ATP1A1	C01AA01	Transporter	Tclin	476
67	acetyldigitoxin	ATP1A2	C01AA01	Transporter	Tclin	477
67	acetyldigitoxin	ATP1A3	C01AA01	Transporter	Tclin	478
67	acetyldigitoxin	ATP1A4	C01AA01	Transporter	Tclin	480
67	acetyldigitoxin	ATP1B1	C01AA01	Transporter	Tclin	481
67	acetyldigitoxin	ATP1B2	C01AA01	Transporter	Tclin	482
67	acetyldigitoxin	ATP1B3	C01AA01	Transporter	Tclin	483
67	acetyldigitoxin	FXYD2	C01AA01	Transporter	Tclin	486
74	acetylsalicylic acid	PTGS1	A01AD05, B01AC06, N02BA01, B01AC56, C07FX02, C07FX03, C07FX04, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, C10BX12, M01BA03, N02AJ02, N02AJ07, N02AJ18, N02BA51, N02BA71	Enzyme	Tclin	5742
74	acetylsalicylic acid	PTGS2	A01AD05, B01AC06, N02BA01, B01AC56, C07FX02, C07FX03, C07FX04, C10BX01, C10BX02, C10BX04, C10BX05, C10BX06, C10BX08, C10BX12, M01BA03, N02AJ02, N02AJ07, N02AJ18, N02BA51, N02BA71	Enzyme	Tclin	5743
78	acitretin	RARA	D05BB02	Nuclear hormone receptor	Tclin	5914
78	acitretin	RARG	D05BB02	Nuclear hormone receptor	Tclin	5916
78	acitretin	ABCB11	D05BB02	Transporter	Tchem	8647
82	acrivastine	HRH1	R06AX18	GPCR	Tclin	3269
82	acrivastine	ABCB1	R06AX18	Transporter	Tchem	5243
87	adapalene	RARA	D10AD03, D10AD53	Nuclear hormone receptor	Tclin	5914
87	adapalene	RARG	D10AD03, D10AD53	Nuclear hormone receptor	Tclin	5916
87	adapalene	RARB	D10AD03, D10AD53	Nuclear hormone receptor	Tclin	5915
87	adapalene	GLRA1	D10AD03, D10AD53	Ion channel	Tclin	2741
88	adefovir dipivoxil	POLG	J05AF08	Enzyme	Tchem	5428
89	adenine	PI4KA	NA	Kinase	Tchem	5297
89	adenine	PI4KB	NA	Kinase	Tchem	5298
89	adenine	XDH	NA	Enzyme	Tclin	7498
90	adenosine	ADORA2B	C01EB10	GPCR	Tclin	136
90	adenosine	ADORA1	C01EB10	GPCR	Tclin	134
90	adenosine	GAPDH	C01EB10	Enzyme	Tchem	2597
90	adenosine	ADORA2A	C01EB10	GPCR	Tclin	135
90	adenosine	ADA	C01EB10	Enzyme	Tclin	100
90	adenosine	ADK	C01EB10	Kinase	Tchem	132
90	adenosine	AHCY	C01EB10	Enzyme	Tchem	191
90	adenosine	ADORA3	C01EB10	GPCR	Tchem	140
99	agomelatine	HTR2B	N06AX22	GPCR	Tclin	3357
99	agomelatine	HTR2C	N06AX22	GPCR	Tclin	3358
99	agomelatine	HTR2A	N06AX22	GPCR	Tclin	3356
99	agomelatine	MTNR1A	N06AX22	GPCR	Tclin	4543
99	agomelatine	MTNR1B	N06AX22	GPCR	Tclin	4544
99	agomelatine	MTNR1A	N06AX22	GPCR	Tclin	4543
99	agomelatine	MTNR1B	N06AX22	GPCR	Tclin	4544
101	alacepril	ACE	NA	Enzyme	Tclin	1636
105	salbutamol	ADRB1	R03AC02, R03CC02, R03AK04, R03AK13, R03AL02	GPCR	Tclin	153
105	salbutamol	ADRB2	R03AC02, R03CC02, R03AK04, R03AK13, R03AL02	GPCR	Tclin	154
107	alclofenac	PTGS1	M01AB06	Enzyme	Tclin	5742
107	alclofenac	PTGS2	M01AB06	Enzyme	Tclin	5743
109	alcuronium	CHRM2	M03AA01	GPCR	Tclin	1129
109	alcuronium	CHRM3	M03AA01	GPCR	Tclin	1131
109	alcuronium	CHRM1	M03AA01	GPCR	Tclin	1128
109	alcuronium	CHRNA4	M03AA01	Ion channel	Tclin	1137
109	alcuronium	CHRNB4	M03AA01	Ion channel	Tclin	1143
109	alcuronium	CHRNA1	M03AA01	Ion channel	Tclin	1134
109	alcuronium	CHRNB1	M03AA01	Ion channel	Tclin	1140
109	alcuronium	CHRND	M03AA01	Ion channel	Tclin	1144
109	alcuronium	CHRNA2	M03AA01	Ion channel	Tchem	1135
109	alcuronium	CHRM4	M03AA01	GPCR	Tclin	1132
109	alcuronium	CHRNA7	M03AA01	Ion channel	Tchem	1139
112	alendronic acid	FDPS	M05BA04, M05BB03, M05BB05, M05BB06	Enzyme	Tclin	2224
114	alfentanil	OPRM1	N01AH02	GPCR	Tclin	4988
114	alfentanil	ABCB1	N01AH02	Transporter	Tchem	5243
115	alfuzosin	ADRA1D	G04CA01, G04CA51	GPCR	Tclin	146
115	alfuzosin	ADRA1A	G04CA01, G04CA51	GPCR	Tclin	148
115	alfuzosin	ADRA1B	G04CA01, G04CA51	GPCR	Tclin	147
119	aliskiren	REN	C09XA02, C09DX02, C09XA52, C09XA53, C09XA54	Enzyme	Tclin	5972
119	aliskiren	ABCB1	C09XA02, C09DX02, C09XA52, C09XA53, C09XA54	Transporter	Tchem	5243
119	aliskiren	CYP3A4	C09XA02, C09DX02, C09XA52, C09XA53, C09XA54	Enzyme	Tclin	1576
120	alizapride	ADRA2C	A03FA05	GPCR	Tclin	152
120	alizapride	DRD2	A03FA05	GPCR	Tclin	1813
124	allopurinol	XDH	M04AA01, M04AA51	Enzyme	Tclin	7498
124	allopurinol	HPRT1	M04AA01, M04AA51	Enzyme	Tchem	3251
128	almotriptan	HTR1F	N02CC05	GPCR	Tclin	3355
128	almotriptan	HTR1D	N02CC05	GPCR	Tclin	3352
128	almotriptan	HTR1B	N02CC05	GPCR	Tclin	3351
129	alosetron	HTR2B	A03AE01	GPCR	Tclin	3357
129	alosetron	CYP1A2	A03AE01	Enzyme	Tchem	1544
129	alosetron	HTR3A	A03AE01	Ion channel	Tclin	3359
129	alosetron	KCNH2	A03AE01	Ion channel	Tclin	3757
130	alfacalcidol	SLC6A2	A11CC03, M05BB06	Transporter	Tclin	6530
130	alfacalcidol	VDR	A11CC03, M05BB06	Nuclear hormone receptor	Tclin	7421
133	alfaxalone	GABRA1	N01AX05	Ion channel	Tclin	2554
133	alfaxalone	GABRB2	N01AX05	Ion channel	Tclin	2561
133	alfaxalone	GABRG2	N01AX05	Ion channel	Tclin	2566
133	alfaxalone	SLC6A1	N01AX05	Transporter	Tclin	6529
133	alfaxalone	GABRA2	N01AX05	Ion channel	Tclin	2555
133	alfaxalone	GABRB2	N01AX05	Ion channel	Tclin	2561
133	alfaxalone	GABRG2	N01AX05	Ion channel	Tclin	2566
134	alpidem	ABCB11	NA	Transporter	Tchem	8647
136	alprazolam	PTAFR	N05BA12	GPCR	Tchem	5724
136	alprazolam	BRD4	N05BA12	Unclassified	Tchem	23476
136	alprazolam	GABRA1	N05BA12	Ion channel	Tclin	2554
136	alprazolam	GABRB2	N05BA12	Ion channel	Tclin	2561
136	alprazolam	GABRG2	N05BA12	Ion channel	Tclin	2566
136	alprazolam	GABRA2	N05BA12	Ion channel	Tclin	2555
136	alprazolam	GABRB3	N05BA12	Ion channel	Tclin	2562
136	alprazolam	GABRG2	N05BA12	Ion channel	Tclin	2566
136	alprazolam	GABRA3	N05BA12	Ion channel	Tclin	2556
136	alprazolam	GABRB3	N05BA12	Ion channel	Tclin	2562
136	alprazolam	GABRG2	N05BA12	Ion channel	Tclin	2566
136	alprazolam	GABRA5	N05BA12	Ion channel	Tclin	2558
136	alprazolam	GABRB3	N05BA12	Ion channel	Tclin	2562
136	alprazolam	GABRG2	N05BA12	Ion channel	Tclin	2566
136	alprazolam	CYP3A4	N05BA12	Enzyme	Tclin	1576
137	alprenolol	HTR2A	C07AA01	GPCR	Tclin	3356
137	alprenolol	ADRB3	C07AA01	GPCR	Tclin	155
137	alprenolol	ADRB1	C07AA01	GPCR	Tclin	153
