Entrez	GeneSymbol	GeneType	UMLS_CUI	Disease	TraitType	Cluster
11102	RPP14	predicted	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_1
1543	CYP1A1	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_2
6136	RPL12	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_3
274	BIN1	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_4
51585	PCF11	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_5
1445	CSK	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_6
1198	CLK3	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_7
10620	ARID3B	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_8
83941	TM2D1	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_9
92346	C1orf105	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_10
549	AUH	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_11
22955	SCMH1	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_12
90678	LRSAM1	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_13
80153	EDC3	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_14
1544	CYP1A2	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_15
54957	TXNL4B	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_16
9242	MSC	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_17
26122	EPC2	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_18
7633	ZNF79	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_19
10799	RPP40	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_1
54913	RPP25	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_20
4901	NRL	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_21
285331	CCDC66	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_22
5279	PIGC	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_23
192683	SCAMP5	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_24
29988	SLC2A8	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_25
55330	BLOC1S4	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_26
79816	TLE6	seed	NA	Added_milk_to_filtered_coffee	Non-disease Trait	Added_milk_to_filtered_coffee_27
1026	CDKN1A	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
6472	SHMT2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
7083	TK1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
3014	H2AX	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
3845	KRAS	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
8626	TP63	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
11051	NUDT21	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
324	APC	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
472	ATM	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
1029	CDKN2A	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
2064	ERBB2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
6790	AURKA	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_6
6794	STK11	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
4001	LMNB1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
1956	EGFR	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
65125	WNK1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
7534	YWHAZ	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
1017	CDK2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_1
2023	ENO1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
4436	MSH2	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
4914	NTRK1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
3939	LDHA	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
6648	SOD2	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
335	APOA1	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_4
5984	RFC4	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_3
6157	RPL27A	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
10528	NOP56	seed	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_5
25	ABL1	predicted	C0152013	Adenocarcinoma_of_lung_disorder	Complex Disease	Adenocarcinoma_of_lung_disorder_2
